Round,Variable,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10
R04,Capital_Stock,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000
R04,Liabilities_and_Owners_Equity,525760,515816,533500,524700,530675,524040,523080,507560,530700,512500
R05,Product_Demand,1369,1369,1369,1369,1369,1369,1369,1369,1369,1369
R05,Material_Price,400,400,400,400,400,400,400,400,400,400
R05,General_and_Administrative_Expenses,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
R05,Selling_Price,729,707,805,690,796,770,730,735,790,770
R05,Production_Order,130,150,100,170,105,140,140,130,110,120
R05,Materials_Procurement,130,150,100,190,120,150,135,110,120,130
R05,Cumulative_Selling_Price,3695,3534,3940,3600,4041,3655,3649,3555,3869,3695
R05,Unit_Manufacturing_Cost,100,100,100,100,100,100,100,100,100,100
R05,Materials_Ordered,130,150,100,190,120,150,135,110,120,130
R05,Materials_Delivered,130,150,100,170,100,120,140,100,110,120
R05,Cumulative_Materials_Delivered,660,670,500,720,520,670,620,560,530,520
R05,Procurement_Cost,52000,60000,40000,68000,40000,48000,56000,40000,44000,48000
R05,Max_Production_Quantity,190,150,100,200,105,160,140,100,110,120
R05,Number_of_Production_Order,130,150,100,170,105,140,140,130,110,120
R05,Number_of_Products_in_Process,130,150,100,170,105,140,140,100,110,120
R05,Material_Inventory,60,0,0,30,0,20,0,0,0,0
R05,Number_of_Products_Produced,130,150,100,155,105,120,130,120,110,100
R05,Cumulative_Number_of_Products_Produced,570,620,500,620,515,610,580,560,520,500
R05,Production_Cost,13000,15000,10000,17000,10500,14000,14000,10000,11000,12000
R05,Number_of_Products_Ready_for_Sale,130,150,100,155,105,120,130,120,110,100
R05,Customer_Visited,140,162,106,168,112,122,139,124,116,117
R05,Cumulative_Customer_Visited,640,719,537,697,510,666,660,688,564,619
R05,Number_of_Sales,130,150,100,155,105,120,130,120,110,100
R05,Cumulative_Number_of_Sales,570,618,500,620,495,606,580,556,520,500
R05,Product_Shortage,10,12,6,13,7,2,9,4,6,17
R05,Cumulative_Product_Shortage,-70,-101,-37,-77,-15,-60,-80,-132,-44,-119
R05,Shortage_Cost,2290,2484,1830,2470,2072,540,2070,940,1740,4590
R05,Cumulative_Shortage_Cost,-16790,-20708,-10535,-17360,-4452,-14130,-18032,-26470,-11631,-27635
R05,Product_Inventory,0,0,0,0,0,0,0,0,0,0
R05,Product_Disposed,0,0,0,0,0,0,0,0,0,0
R05,Cumulative_Product_Disposed,0,-2,0,0,-20,-4,0,-4,0,0
R05,Cumulative_Disposal_Loss,0,-1000,0,0,-10000,-2000,0,-2000,0,0
R05,Sales,94770,106050,80500,106950,83580,92400,94900,88200,86900,77000
R05,Cumulative_Sales,420530,436866,394000,444150,399255,441440,422980,395760,402600,369500
R05,Debt,0,0,0,0,0,0,0,0,0,0
R05,Interest_Expense,0,0,0,0,0,0,0,0,0,0
R05,Cash_Flow,9770,11050,10500,1950,13080,10400,4900,18200,11900,-3000
R05,Cumulative_Cash_Flow,-3470,1866,44000,-12850,39255,8440,12980,15760,37600,9500
R05,Cash,196530,201866,244000,187150,239255,208440,212980,215760,237600,209500
R05,Material_Inventory_Assets,24000,0,0,12000,0,8000,0,0,0,0
R05,Product_in_Process_Assets,65000,75000,50000,85000,52500,70000,70000,50000,55000,60000
R05,Inventory_Assets,89000,75000,50000,97000,52500,78000,70000,50000,55000,60000
R05,Fixed_Assets,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000
R05,Assets,535530,526866,544000,534150,541755,536440,532980,515760,542600,519500
R05,Cost_of_Product_Manufactured,65000,75000,50000,77500,52500,60000,65000,60000,55000,50000
R05,Gross_Profit,29770,31050,30500,29450,31080,32400,29900,28200,31900,27000
R05,Operating_Profit,9770,11050,10500,9450,11080,12400,9900,8200,11900,7000
R05,Ordinary_Profit,9770,11050,10500,9450,11080,12400,9900,8200,11900,7000
R05,Current_Liabilities,0,0,0,0,0,0,0,0,0,0
R05,Retained_Earnings,35530,26866,44000,34150,41755,36440,32980,15760,42600,19500
R05,Capital_Stock,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000
R05,Liabilities_and_Owners_Equity,535530,526866,544000,534150,541755,536440,532980,515760,542600,519500
R06,Product_Demand,1379,1379,1379,1379,1379,1379,1379,1379,1379,1379
R06,Material_Price,400,400,400,400,400,400,400,400,400,400
R06,General_and_Administrative_Expenses,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
R06,Selling_Price,729,708,810,690,800,749,730,740,787,790
R06,Production_Order,140,150,100,190,110,150,135,120,120,130
R06,Materials_Procurement,140,160,105,220,110,150,127,120,120,100
R06,Cumulative_Selling_Price,4424,4242,4750,4290,4841,4404,4379,4295,4656,4485
R06,Unit_Manufacturing_Cost,100,100,100,100,100,100,100,100,100,100
R06,Materials_Ordered,140,160,105,220,110,150,127,120,120,100
R06,Materials_Delivered,130,150,100,190,120,150,135,110,120,130
R06,Cumulative_Materials_Delivered,790,820,600,910,640,820,755,670,650,650
R06,Procurement_Cost,52000,60000,40000,76000,48000,60000,54000,44000,48000,52000
R06,Max_Production_Quantity,190,150,100,220,120,170,135,110,120,130
